City|State short|State full|County|City alias
New York|NY|New York|Queens|New York
Los Angeles|CA|California|Los Angeles|Los Angeles
Chicago|IL|Illinois|Cook|Chicago
Miami|FL|Florida|Miami-Dade|Miami
Houston|TX|Texas|Harris|Houston
Dallas|TX|Texas|Dallas|Dallas
Philadelphia|PA|Pennsylvania|Philadelphia|Philadelphia
Atlanta|GA|Georgia|Fulton|Atlanta
Washington|DC|District of Columbia|District of Columbia|Washington
Boston|MA|Massachusetts|Suffolk|Boston
Phoenix|AZ|Arizona|Maricopa|Phoenix
Detroit|MI|Michigan|Wayne|Detroit
Seattle|WA|Washington|King|Seattle
San Francisco|CA|California|San Francisco|San Francisco
San Diego|CA|California|San Diego|San Diego
Minneapolis|MN|Minnesota|Hennepin|Minneapolis
Tampa|FL|Florida|Hillsborough|Tampa
Brooklyn|NY|New York|Kings|Brooklyn
Denver|CO|Colorado|Denver|Denver
Queens|NY|New York|Queens|Queens
Riverside|CA|California|Riverside|Riverside
Las Vegas|NV|Nevada|Clark|Las Vegas
Baltimore|MD|Maryland|Baltimore|Baltimore
St. Louis|MO|Missouri|St. Louis|St. Louis
Portland|OR|Oregon|Multnomah|Portland
San Antonio|TX|Texas|Bexar|San Antonio
Sacramento|CA|California|Sacramento|Sacramento
Austin|TX|Texas|Travis|Austin
Orlando|FL|Florida|Orange|Orlando
San Juan|PR|Puerto Rico|San Juan|San Juan
San Jose|CA|California|Santa Clara|San Jose
Indianapolis|IN|Indiana|Marion|Indianapolis
Pittsburgh|PA|Pennsylvania|Allegheny|Pittsburgh
Cincinnati|OH|Ohio|Hamilton|Cincinnati
Manhattan|NY|New York|New York|Manhattan
Kansas City|MO|Missouri|Jackson|Kansas City
Cleveland|OH|Ohio|Cuyahoga|Cleveland
Columbus|OH|Ohio|Franklin|Columbus
Bronx|NY|New York|Bronx|Bronx
Charlotte|NC|North Carolina|Mecklenburg|Charlotte
Virginia Beach|VA|Virginia|Virginia Beach|Virginia Beach
Jacksonville|FL|Florida|Duval|Jacksonville
Milwaukee|WI|Wisconsin|Milwaukee|Milwaukee
Providence|RI|Rhode Island|Providence|Providence
Nashville|TN|Tennessee|Davidson|Nashville
Salt Lake City|UT|Utah|Salt Lake|Salt Lake City
Raleigh|NC|North Carolina|Wake|Raleigh
Richmond|VA|Virginia|Richmond|Richmond
